J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,6900.0,6990.0,6690.0,6830.0,6960.0,3873802.0,26284945870.0,538.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-22,1401-11-02,6700.0,7000.0,6690.0,6960.0,6940.0,2887763.0,19750043970.0,419.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-23,1401-11-03,7070.0,7070.0,6650.0,6770.0,6920.0,2691879.0,18351589340.0,477.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-24,1401-11-04,6750.0,6890.0,6650.0,6700.0,6870.0,3449309.0,23130025000.0,490.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-25,1401-11-05,6650.0,6730.0,6460.0,6530.0,6720.0,5873082.0,38279896100.0,697.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-28,1401-11-08,6740.0,6790.0,6360.0,6480.0,6660.0,4698668.0,30747415940.0,560.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-29,1401-11-09,6360.0,6450.0,6200.0,6200.0,6430.0,7152465.0,44418837010.0,603.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-30,1401-11-10,6000.0,6370.0,6000.0,6370.0,6380.0,3254559.0,20221429210.0,508.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-01-31,1401-11-11,6110.0,6540.0,6110.0,6370.0,6380.0,2238956.0,14328442430.0,333.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-01,1401-11-12,6470.0,6470.0,6190.0,6300.0,6370.0,1085647.0,6814280800.0,215.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-04,1401-11-12,6470.0,6470.0,6190.0,6300.0,6370.0,1085647.0,6814280800.0,215.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-05,1401-11-16,6200.0,6400.0,6120.0,6200.0,6340.0,3214728.0,20055938700.0,531.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-06,1401-11-17,6200.0,6340.0,6010.0,6210.0,6320.0,2258944.0,14050600160.0,459.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-07,1401-11-18,6380.0,6390.0,6250.0,6290.0,6320.0,4601111.0,29009205240.0,456.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-08,1401-11-19,6140.0,6320.0,6140.0,6220.0,6310.0,2483575.0,15486760010.0,397.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-11,1401-11-19,6140.0,6320.0,6140.0,6220.0,6310.0,2483575.0,15486760010.0,397.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-12,1401-11-23,6250.0,6310.0,6120.0,6260.0,6300.0,1159073.0,7220140010.0,272.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-13,1401-11-24,6240.0,6260.0,6180.0,6190.0,6290.0,1148773.0,7137104380.0,252.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-14,1401-11-25,6030.0,6270.0,6030.0,6210.0,6270.0,2591505.0,16028126600.0,242.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-15,1401-11-26,6130.0,6250.0,6130.0,6190.0,6260.0,1642419.0,10175967520.0,223.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-18,1401-11-26,6130.0,6250.0,6130.0,6190.0,6260.0,1642419.0,10175967520.0,223.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-19,1401-11-30,6120.0,6250.0,6120.0,6200.0,6250.0,1529294.0,9456859540.0,343.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-20,1401-12-01,6110.0,6520.0,6110.0,6450.0,6310.0,4598136.0,29634722890.0,425.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-21,1401-12-02,6430.0,6750.0,6430.0,6750.0,6740.0,15273475.0,102909019120.0,852.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-22,1401-12-03,6760.0,7000.0,6470.0,6820.0,6720.0,8532832.0,57184391880.0,511.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-25,1401-12-06,7160.0,7190.0,6800.0,7190.0,7060.0,10107770.0,72650927680.0,495.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-26,1401-12-07,7550.0,7550.0,7330.0,7470.0,7540.0,25184016.0,189846173120.0,1103.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-27,1401-12-08,7210.0,7540.0,7210.0,7390.0,7460.0,6599128.0,48666338970.0,668.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-02-28,1401-12-09,7330.0,7480.0,7330.0,7380.0,7440.0,3679992.0,27160504030.0,531.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-01,1401-12-10,7210.0,7290.0,7140.0,7180.0,7380.0,4109745.0,29690016400.0,435.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-05,1401-12-14,7120.0,7380.0,7080.0,7230.0,7310.0,1717709.0,12449407130.0,481.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-06,1401-12-15,7170.0,7320.0,7060.0,7240.0,7300.0,2573009.0,18626873550.0,418.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-07,1401-12-16,7040.0,7320.0,7040.0,7260.0,7280.0,5496736.0,39893350090.0,544.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-08,1401-12-16,7040.0,7320.0,7040.0,7260.0,7280.0,5496736.0,39893350090.0,544.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-12,1401-12-21,7170.0,7280.0,7020.0,7080.0,7250.0,2389580.0,16997148320.0,684.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-13,1401-12-22,7010.0,7250.0,7010.0,7100.0,7230.0,1918032.0,13677943630.0,338.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-14,1401-12-23,7040.0,7270.0,7040.0,7070.0,7190.0,5255104.0,37479417070.0,824.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-15,1401-12-24,7100.0,7540.0,7100.0,7500.0,7350.0,9559949.0,71008430760.0,617.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-19,1401-12-28,7990.0,8010.0,7850.0,7900.0,7600.0,3240609.0,25759794920.0,340.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-20,1401-12-28,7990.0,8010.0,7850.0,7900.0,7600.0,3240609.0,25759794920.0,340.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-21,1401-12-28,7990.0,8010.0,7850.0,7900.0,7600.0,3240609.0,25759794920.0,340.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-22,1401-12-28,7990.0,8010.0,7850.0,7900.0,7600.0,3240609.0,25759794920.0,340.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-25,1401-12-28,7990.0,8010.0,7850.0,7900.0,7600.0,3240609.0,25759794920.0,340.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-26,1401-12-28,7990.0,8010.0,7850.0,7900.0,7600.0,3240609.0,25759794920.0,340.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-27,1402-01-07,8110.0,8120.0,7720.0,7920.0,7690.0,3248761.0,25942458130.0,373.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-28,1402-01-08,7990.0,7990.0,7830.0,7880.0,7720.0,2155902.0,16994563390.0,451.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-03-29,1402-01-09,8000.0,8100.0,7700.0,7990.0,7790.0,5845218.0,46148952380.0,668.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-01,1402-01-09,8000.0,8100.0,7700.0,7990.0,7790.0,5845218.0,46148952380.0,668.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-02,1402-01-09,8000.0,8100.0,7700.0,7990.0,7790.0,5845218.0,46148952380.0,668.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-03,1402-01-14,7980.0,8330.0,7700.0,8250.0,7960.0,6559670.0,53501078310.0,812.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-04,1402-01-15,8310.0,8510.0,8250.0,8510.0,8500.0,14667071.0,124615134530.0,946.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-05,1402-01-16,8820.0,9090.0,8500.0,9090.0,9050.0,22963210.0,207832450570.0,1216.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-09,1402-01-20,9970.0,9980.0,9240.0,9900.0,9710.0,10448873.0,101722689740.0,1432.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-10,1402-01-21,10000.0,10340.0,9450.0,9720.0,9950.0,19122025.0,190268212220.0,1460.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-11,1402-01-22,9880.0,10350.0,9720.0,10230.0,10160.0,19188758.0,195022480580.0,1211.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-12,1402-01-22,9880.0,10350.0,9720.0,10230.0,10160.0,19188758.0,195022480580.0,1211.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-15,1402-01-26,10390.0,10870.0,10390.0,10790.0,10630.0,11201478.0,119343761820.0,1098.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-16,1402-01-27,11300.0,11300.0,10400.0,10790.0,10650.0,18915671.0,201483330980.0,1380.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-17,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-18,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-19,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-22,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-24,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-25,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-26,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-29,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-04-30,1402-01-28,10890.0,11000.0,10460.0,11000.0,10710.0,35128538.0,376284513460.0,1695.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-01,1402-02-11,10420.0,10810.0,10210.0,10320.0,10330.0,25830710.0,266941899240.0,1747.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-02,1402-02-12,10650.0,10650.0,10100.0,10200.0,10200.0,24187086.0,246702477960.0,2624.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-03,1402-02-13,10350.0,10350.0,9770.0,10240.0,9990.0,22454002.0,224300345640.0,2267.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-06,1402-02-16,10590.0,10590.0,10050.0,10110.0,10190.0,18954907.0,193130537470.0,1764.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-07,1402-02-17,10080.0,10380.0,9480.0,9480.0,9560.0,24839955.0,237540331550.0,1558.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-08,1402-02-18,8900.0,8900.0,8900.0,8900.0,9200.0,6580867.0,58569716300.0,735.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-09,1402-02-19,8580.0,9520.0,8570.0,9410.0,9080.0,7924550.0,71502166660.0,1020.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-10,1402-02-20,9590.0,9590.0,8450.0,8450.0,8540.0,11784853.0,100521528060.0,1076.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-13,1402-02-23,7980.0,8420.0,7950.0,7950.0,7990.0,19961215.0,159470837120.0,998.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-14,1402-02-24,7620.0,8310.0,7620.0,8150.0,8090.0,18137849.0,146779414700.0,1411.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-15,1402-02-25,8340.0,8370.0,7800.0,8130.0,8090.0,11878235.0,96104534910.0,1591.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-17,1402-02-27,8130.0,8370.0,8040.0,8340.0,8160.0,5605012.0,46255001400.0,715.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-20,1402-02-30,8350.0,8450.0,7990.0,8020.0,8160.0,4332616.0,35285229410.0,935.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-21,1402-02-31,8050.0,8350.0,8020.0,8250.0,8180.0,3323085.0,27337170480.0,505.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-22,1402-03-01,8430.0,8620.0,8210.0,8410.0,8250.0,4063361.0,34219267450.0,669.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-23,1402-03-02,8500.0,8600.0,8270.0,8380.0,8290.0,3195076.0,26926972800.0,523.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-24,1402-03-03,8290.0,8600.0,8290.0,8340.0,8310.0,2519840.0,21125866070.0,493.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-27,1402-03-06,8560.0,8560.0,8150.0,8210.0,8300.0,2734930.0,22523109600.0,576.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-28,1402-03-07,8080.0,8140.0,7820.0,8130.0,8220.0,3461736.0,27557534160.0,596.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-29,1402-03-08,7840.0,8340.0,7840.0,8200.0,8210.0,2951024.0,24063929880.0,457.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-30,1402-03-09,7960.0,8380.0,7960.0,8200.0,8220.0,2125743.0,17619330120.0,357.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-05-31,1402-03-10,8490.0,8490.0,7980.0,8160.0,8210.0,2766573.0,22564808790.0,438.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-03,1402-03-13,7970.0,8280.0,7970.0,8200.0,8210.0,2242546.0,18371584490.0,327.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-06,1402-03-16,8190.0,8290.0,8120.0,8260.0,8210.0,3248918.0,26725376680.0,383.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-07,1402-03-17,8350.0,8560.0,8200.0,8230.0,8230.0,2465484.0,20585664800.0,422.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-10,1402-03-20,7920.0,8020.0,7740.0,7920.0,8130.0,3623426.0,28433856880.0,459.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-11,1402-03-21,8250.0,8250.0,7820.0,8040.0,8070.0,7427067.0,59593833180.0,508.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-12,1402-03-22,8040.0,8070.0,7570.0,7920.0,8020.0,2832161.0,22186344820.0,490.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-13,1402-03-23,7920.0,8100.0,7800.0,8000.0,8020.0,1468018.0,11723978320.0,232.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-14,1402-03-24,8210.0,8220.0,7900.0,7940.0,8020.0,1309109.0,10509416170.0,271.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-17,1402-03-27,8000.0,8040.0,7800.0,7930.0,8000.0,2720563.0,21584521830.0,393.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-18,1402-03-28,7910.0,8080.0,7750.0,7840.0,7970.0,4343814.0,34399648820.0,471.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-19,1402-03-29,8090.0,8090.0,7750.0,7850.0,7960.0,2226499.0,17541017600.0,385.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-20,1402-03-30,7620.0,8060.0,7620.0,7970.0,7960.0,1562627.0,12425043830.0,223.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-21,1402-03-31,8000.0,8070.0,7740.0,7860.0,7950.0,3118354.0,24632010980.0,392.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-24,1402-04-03,8040.0,8040.0,7740.0,7790.0,7940.0,520971.0,4060053070.0,244.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-25,1402-04-04,7990.0,7990.0,7730.0,7900.0,7920.0,2261006.0,17651309010.0,393.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-26,1402-04-05,7740.0,8030.0,7740.0,8000.0,7930.0,2906577.0,23135140200.0,308.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-27,1402-04-06,8080.0,8080.0,7760.0,7780.0,7930.0,1283329.0,10170663520.0,298.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-06-28,1402-04-07,7730.0,7860.0,7730.0,7830.0,7930.0,509762.0,3981535490.0,179.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-07-01,1402-04-10,7830.0,8030.0,7780.0,7810.0,7920.0,739283.0,5781135890.0,225.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-07-02,1402-04-11,7730.0,8000.0,7730.0,8000.0,7910.0,3244841.0,25516313040.0,478.0,ونیکی,سرمایه گذاری ملی ایران,بورس
2023-07-03,1402-04-12,7970.0,8000.0,7820.0,7980.0,7910.0,1259895.0,9941097910.0,299.0,ونیکی,سرمایه گذاری ملی ایران,بورس
